id,title,Recipe_Description,Nutritional_Information_(per_serving),instructions,ingredients,image,total_time_mins,calories,proteins,fats,carbs,ingredients_list,instructions_list,meal_type
1771250162-1,Zombie peppers,"These petrifying peppers, stuffed with blood-red veggie rice, make a real monster of a meal!Prep: 10 mins
Cook: 50 mins
Serves 4",,"Slice the tops off the peppers and put the lids aside. Remove and throw away the seeds. With a sharp knife, carefully carve a spooky face into each pepper. Once they're scary enough, put the peppers in a roasting tray and turn on the oven to preheat to 180C (fan 160C, gas mark 4).
  
    
  Information: 
  If they're old enough, the kids can carve the faces into the peppers themselves. Just make sure to keep an eye on them at all times. Younger ones can tell you what face to carve, or draw what they would like instead!


  

          
            


  
    Bring a pan of water to the boil and cook the rice according to the packet instructions. When it's ready, drain and set aside.
  

          
            


  
    While the rice is cooking, heat the oil in a saucepan over a medium-high heat and fry the onions until softened and beginning to go see-through – about 5 minutes.
  

          
            


  
    Take the pan off the heat, then add in the cooked rice, grated beetroot, grated cheese, Worcestershire sauce, black pepper and herbs. Mix well.
  
    
  Information: 
  Stuffed peppers are a great way to use up leftovers all year round, so skip the carving (if you want!) and experiment. Chilli, veg-loaded cous-cous, and pasta in tomato sauce all work brilliantly, for example.


  

          
            


  
    Spoon the filling into the peppers, and put their lids back on. Roast in the oven for 45 minutes, or until they've softened but are still holding their scary shape! Leave to cool for 5 minutes, then dish up with a side of salad and enjoy.
  
    
  Information: 
  Head to Eat Them To Defeat Them for loads more tasty veg-based recipes.","4 peppers (any colour)200g rice1 tablespoon oil2 onions, peeled and diced1 large or 2 small beetroot, grated1 tablespoon Worcestshire sauce50g lower-fat mozzarrella, grated50g lower-fat cheddar, grated2 teaspoons dried mixed herbs (or fresh parsley or basil)1 pinch black pepper",https://assets.nhs.uk/campaigns-cms-prod/images/Zombie-peppers_EysJn6A.width-1534.jpg,60,,,,,"['4 peppers (any colour)', '200g rice', '1 tablespoon oil', '2 onions, peeled and diced', '1 large or 2 small beetroot, grated', '1 tablespoon Worcestshire sauce', '50g lower-fat mozzarrella, grated', '50g lower-fat cheddar, grated', '2 teaspoons dried mixed herbs (or fresh parsley or basil)', '1 pinch black pepper']","[""Slice the tops off the peppers and put the lids aside. Remove and throw away the seeds. With a sharp knife, carefully carve a spooky face into each pepper. Once they're scary enough, put the peppers in a roasting tray and turn on the oven to preheat to 180C (fan 160C, gas mark 4)."", ""If they're old enough, the kids can carve the faces into the peppers themselves. Just make sure to keep an eye on them at all times. Younger ones can tell you what face to carve, or draw what they would like instead!"", ""Bring a pan of water to the boil and cook the rice according to the packet instructions. When it's ready, drain and set aside."", 'While the rice is cooking, heat the oil in a saucepan over a medium-high heat and fry the onions until softened and beginning to go see-through – about 5 minutes.', 'Take the pan off the heat, then add in the cooked rice, grated beetroot, grated cheese, Worcestershire sauce, black pepper and herbs. Mix well.', 'Stuffed peppers are a great way to use up leftovers all year round, so skip the carving (if you want!) and experiment. Chilli, veg-loaded cous-cous, and pasta in tomato sauce all work brilliantly, for example.', ""Spoon the filling into the peppers, and put their lids back on. Roast in the oven for 45 minutes, or until they've softened but are still holding their scary shape! Leave to cool for 5 minutes, then dish up with a side of salad and enjoy."", 'Head to Eat Them To Defeat Them for loads more tasty veg-based recipes.']",Dinner
1771250164-2,Warm bananas and yoghurt,"A crafty way to get the kids to eat more fruit!Prep: 5 mins
Cook: 3 mins
Serves 4","720kJ / 172kcal4g protein26g carbohydrate, of which 24g sugars6g fat, of which 3g saturates1g fibre0.1g salt","Heat a non-stick frying pan over a medium-low heat and add the low-fat spread.
  

          
            


  
    Add the banana pieces and fry gently for 2 minutes. Add the orange juice and cook for another 30 to 40 seconds. Sprinkle with the grated orange zest.
  
    
  Information: 
  Take care not to overcook the bananas, or else they will go very mushy.


  

          
            


  
    Divide into bowls and top each portion with 1 tablespoon of low-fat Greek yoghurt.","20g low-fat spread4 ripe bananas, peeled and sliced into diagonal chunkszest and juice of 1 orange4 tablespoons low-fat Greek-style natural yoghurt",https://assets.nhs.uk/campaigns-cms-prod/images/Warm_bananas_and_low_fat_yoghurt_2pu9eR4.width-1534.png,8,172kcals,4g,6g,26g,"['20g low-fat spread', '4 ripe bananas, peeled and sliced into diagonal chunkszest and juice of 1 orange', '4 tablespoons low-fat Greek-style natural yoghurt']","['Heat a non-stick frying pan over a medium-low heat and add the low-fat spread.', 'Add the banana pieces and fry gently for 2 minutes. Add the orange juice and cook for another 30 to 40 seconds. Sprinkle with the grated orange zest.', 'Take care not to overcook the bananas, or else they will go very mushy.', 'Divide into bowls and top each portion with 1 tablespoon of low-fat Greek yoghurt.']",Breakfast
1771250166-3,Veggie spag bol recipe,"This easy vegetarian spaghetti Bolognese is packed with vegetables, making it healthier and very tasty too.Prep: 20 mins
Cook: 35 mins
Serves 4","1,909kJ / 453kcals27.4g protein8.2g fat, of which 0.8g saturates61.2g carbohydrate, of which 12.2g sugars12.8g fibre0.9g salt","Heat a large heavy-based saucepan. Add in the frozen vegetarian mince, onion, garlic, chilli, celery, carrot, aubergine and vegetable stock. Bring to the boil.
  
    
  Information: 
  Substitute different vegetables, such as peppers, leeks, courgette or fine green beans.


  

          
            


  
    Add the tomatoes, dried herbs, tomato purée and mushrooms. Stir well. Simmer, partially covered, for 25 to 30 minutes, adding a little extra water if needed. Season with pepper.
  
    
  Information: 
  Make a meat version with 300g extra-lean minced beef, dry-frying it in the saucepan until browned, then adding the rest of the ingredients.


  

          
            


  
    About 15 minutes before you want to eat, cook the spaghetti in plenty of boiling water for 10 to 12 minutes, or according to pack instructions. Drain well, share between 4 warm plates and top with the Bolognese sauce.
  
    
  Information: 
  Try reducing the quantity of spaghetti and pair it with cooked strips of carrot and courgette to add even more vegetables to it.","300g frozen vegetarian mince1 large onion, chopped2 garlic cloves, crushed1 teaspoon red (or green) chopped chilli2 celery sticks1 carrot, chopped1 aubergine, finely chopped1 cube reduced-salt vegetable stock with 400ml boiled water1 can chopped tomatoes2 teaspoons dried Italian mixed herbs2 tablespoons tomato purée200g mushrooms, sliced250g dried wholemeal spaghetti1 pinch ground black pepper",https://assets.nhs.uk/campaigns-cms-prod/images/Veggie_spag_bol.width-1534.png,55,453kcals,27.4g,8.2g,61.2g,"['300g frozen vegetarian mince', '1 large onion, chopped', '2 garlic cloves, crushed', '1 teaspoon red (or green) chopped chilli', '2 celery sticks', '1 carrot, chopped', '1 aubergine, finely chopped', '1 cube reduced-salt vegetable stock with 400ml boiled water', '1 can chopped tomatoes', '2 teaspoons dried Italian mixed herbs', '2 tablespoons tomato purée', '200g mushrooms, sliced', '250g dried wholemeal spaghetti', '1 pinch ground black pepper']","['Heat a large heavy-based saucepan. Add in the frozen vegetarian mince, onion, garlic, chilli, celery, carrot, aubergine and vegetable stock. Bring to the boil.', 'Substitute different vegetables, such as peppers, leeks, courgette or fine green beans.', 'Add the tomatoes, dried herbs, tomato purée and mushrooms. Stir well. Simmer, partially covered, for 25 to 30 minutes, adding a little extra water if needed. Season with pepper.', 'Make a meat version with 300g extra-lean minced beef, dry-frying it in the saucepan until browned, then adding the rest of the ingredients.', 'About 15 minutes before you want to eat, cook the spaghetti in plenty of boiling water for 10 to 12 minutes, or according to pack instructions. Drain well, share between 4 warm plates and top with the Bolognese sauce.', 'Try reducing the quantity of spaghetti and pair it with cooked strips of carrot and courgette to add even more vegetables to it.']",Dinner
1771250168-4,Vegetarian Jamaican rundown,"Rundown is based on coconut milk. This healthy take honours the Caribbean spices while upping the veg and using low-fat coconut milk.Prep: 20 mins
Cook: 25 mins
Serves 4","248kcal / 1,034kJ10g protein9.2g fat, of which 6.6g saturates25g carbohydrate, of which 5.8g sugars13g fibreTrace amounts of salt","Add 4 sprays of oil to a large non-stick pot on low heat. Add the onions, garlic and thyme, and sauté on low heat for 30 seconds.
  

          
            


  
    Stir in all-spice powder and curry powder, and gently cook for 1 minute.
  

          
            


  
    Stir in all the remaining vegetables and kidney beans, cook on medium heat for 60 seconds, then pour in the coconut milk. Stir well.
  
    
  Information: 
  For some spiciness, add a halved scotch bonnet pepper along with the rest of the veg, then remove along with the thyme before serving.


  

          
            


  
    Cover the pot and bring to the boil, then gently simmer on low heat for 15 to 20 minutes.
  

          
            


  
    Add salt (if using) and pepper, stir and simmer for another 5 minutes, until the veg is has softened and cooked through. Remove the thyme sprigs and serve with a small (75g) portion of steamed brown basmati rice.
  
    
  Information: 
  This dish freezes really well – so why not cook in batches, freeze for up to a month in labelled containers.","vegetable oil spray1 small onion, chopped3 medium spring onions, cut into strips3 cloves garlic, finely chopped3 sprigs fresh thyme1 teaspoon all-spice powder1 teaspoon curry powder100g aubergine, chopped into cubes100g butternut squash, deseeded and cut into cubes1 small red bell pepper, cut into strips90g broccoli florets, thinly chopped2 tins kidney beans in water, drained90g carrots, peeled and cut into strips50g baby corn, cut into strips80g cho cho, cut into strips80g green beans400ml low-fat coconut milkhalf a teaspoon black pepper1 teaspoon salt (optional)",https://assets.nhs.uk/campaigns-cms-prod/images/Vegetarian_Jamaican_Rundown2.width-1534.png,45,248kcals,10g,9.2g,25g,"['vegetable oil spray', '1 small onion, chopped', '3 medium spring onions, cut into strips', '3 cloves garlic, finely chopped', '3 sprigs fresh thyme', '1 teaspoon all-spice powder', '1 teaspoon curry powder', '100g aubergine, chopped into cubes', '100g butternut squash, deseeded and cut into cubes', '1 small red bell pepper, cut into strips', '90g broccoli florets, thinly chopped', '2 tins kidney beans in water, drained', '90g carrots, peeled and cut into strips', '50g baby corn, cut into strips', '80g cho cho, cut into strips', '80g green beans', '400ml low-fat coconut milkhalf a teaspoon black pepper', '1 teaspoon salt (optional)']","['Add 4 sprays of oil to a large non-stick pot on low heat. Add the onions, garlic and thyme, and sauté on low heat for 30 seconds.', 'Stir in all-spice powder and curry powder, and gently cook for 1 minute.', 'Stir in all the remaining vegetables and kidney beans, cook on medium heat for 60 seconds, then pour in the coconut milk. Stir well.', 'For some spiciness, add a halved scotch bonnet pepper along with the rest of the veg, then remove along with the thyme before serving.', 'Cover the pot and bring to the boil, then gently simmer on low heat for 15 to 20 minutes.', 'Add salt (if using) and pepper, stir and simmer for another 5 minutes, until the veg is has softened and cooked through. Remove the thyme sprigs and serve with a small (75g) portion of steamed brown basmati rice.', 'This dish freezes really well – so why not cook in batches, freeze for up to a month in labelled containers.']",Dinner
1771250170-5,Vegetable jalfrezi,"This easy curry is packed full of vegetables. Just serve in warm bowls for a very satisfying meal.Prep: 20 mins
Cook: 40 mins
Serves 4","1,678kJ / 401kcal15g protein68.5g carbohydrate, of which 19g sugars9g fat, of which 1g saturates8g fibre0.9g salt","Heat the vegetable oil in a large saucepan. Add the onions, apple and garlic and cook, stirring, for 3 to 4 minutes. Stir in the curry paste and cook for a few seconds.
  

          
            


  
    Add the carrot, pepper, tomatoes, cauliflower, chickpeas and stock. Simmer, partially covered, for 25 to 30 minutes, adding a little extra stock or water if needed. At the same time, cook the rice in a large saucepan of gently boiling water. It will take about 30 minutes.
  
    
  Information: 
  Use economy brands of canned tomatoes, chickpeas and lower-fat yoghurt to keep the cost of ingredients as low as possible.


  

          
            


  
    Add the peas and coriander (if using) to the curry and heat for 2 to 3 minutes. Check the seasoning, adding a little ground black pepper if needed.
  

          
            


  
    Serve the vegetable curry on warmed plates, with the rice, topping each portion with 1 tablespoon of low-fat yoghurt.
  
    
  Information: 
  Cool any leftovers quickly and refrigerate, covered, for up to 3 days. Make sure you re-heat thoroughly before serving.","2 teaspoons vegetable oil2 medium onions, chopped1 medium apple, cored and chopped1 garlic clove, crushed2 tablespoons jalfrezi curry paste1 carrot, sliced1 green pepper, deseeded and chopped400g tomatoes, chopped3 handfuls cauliflower, broken into florets410g chickpeas in water, rinsed and drained300ml reduced-salt vegetable or chicken stock180g easy cook long grain brown rice50g fresh or frozen peas2 tablespoons fresh coriander, chopped (optional)4 tablespoons low-fat natural yoghurt, to serve1 pinch ground black pepper",https://assets.nhs.uk/campaigns-cms-prod/images/5.-Vegetable-Jalfrezi.width-1534.jpg,60,401kcals,15g,9g,68.5g,"['2 teaspoons vegetable oil', '2 medium onions, chopped', '1 medium apple, cored and chopped', '1 garlic clove, crushed', '2 tablespoons jalfrezi curry paste', '1 carrot, sliced', '1 green pepper,\xa0deseeded and chopped', '400g\xa0tomatoes, chopped', '3 handfuls cauliflower,\xa0broken into florets', '410g chickpeas in water,\xa0rinsed and drained', '300ml reduced-salt vegetable or chicken stock', '180g easy\xa0cook long grain brown rice', '50g fresh or frozen peas', '2 tablespoons fresh coriander,\xa0chopped (optional)', '4 tablespoons low-fat natural yoghurt,\xa0to serve', '1 pinch\xa0ground black pepper']","['Heat the vegetable oil in a large saucepan. Add the onions, apple and garlic and cook, stirring, for 3 to 4 minutes. Stir in the curry paste and cook for a few seconds.', 'Add the carrot, pepper, tomatoes, cauliflower, chickpeas and stock. Simmer, partially covered, for 25 to 30 minutes, adding a little extra stock or water if needed. At the same time, cook the rice in a large saucepan of gently boiling water. It will take about 30 minutes.', 'Use economy brands of canned tomatoes, chickpeas and lower-fat yoghurt to keep the cost of ingredients as low as possible.', 'Add the peas and coriander (if using) to the curry and heat for 2 to 3 minutes. Check the seasoning, adding a little ground black pepper if needed.', 'Serve the vegetable curry on warmed plates, with the rice, topping each portion with 1 tablespoon of low-fat yoghurt.', 'Cool any leftovers quickly and refrigerate, covered, for up to 3 days. Make sure you re-heat thoroughly before serving.']",Dinner
1771250172-6,Vegetable frittata,"This is a lovely thick omelette made for 4, served cut into wedges.Prep: 10 mins
Cook: 12 mins
Serves 4","923kJ / 222kcal14g protein17.5g carbohydrate, of which 3g sugars11g fat, of which 3g saturates2.5g fibre0.7g salt","Turn the grill on to preheat to a medium-high temperature.
  

          
            


  
    Heat the vegetable oil in a non-stick frying pan. Add the courgette and tomatoes and cook on the hob for 3 to 4 minutes, stirring often, until soft. Spread out over the base of the frying pan.
  
    
  Information: 
  If you use a good non-stick frying pan the frittata will be easy to remove.


  

          
            


  
    Beat the eggs and milk together and pour into the frying pan. Cook over a medium-low heat for 4 or 5 minutes to set the base, then transfer to the grill to set the surface – about 3 minutes. Remove from the heat and let the frittata cool for 3 or 4 minutes.
  
    
  Information: 
  Take care not to cook over a high heat, or else the base could brown too much before the middle of the frittata is cooked.


  

          
            


  
    Toast the slices of bread. Slice the frittata into wedges and serve with the toast.
  
    
  Information: 
  You could also make the recipe with extra vegetables, such as mushrooms, spring onions and chopped peppers.",2 teaspoons vegetable oil6 eggs2 tablespoons milk4 slices bread (wholemeal if possible),https://assets.nhs.uk/campaigns-cms-prod/images/27.-Veggie-Fritatta-.width-1534.jpg,22,222kcals,14g,11g,17.5g,"['2 teaspoons vegetable oil', '6 eggs', '2 tablespoons milk', '4 slices bread (wholemeal if possible)']","['Turn the grill on to preheat to a medium-high temperature.', 'Heat the vegetable oil in a non-stick frying pan. Add the courgette and tomatoes and cook on the hob for 3 to 4 minutes, stirring often, until soft. Spread out over the base of the frying pan.', 'If you use a good non-stick frying pan the frittata will be easy to remove.', 'Beat the eggs and milk together and pour into the frying pan. Cook over a medium-low heat for 4 or 5 minutes to set the base, then transfer to the grill to set the surface – about 3 minutes. Remove from the heat and let the frittata cool for 3 or 4 minutes.', 'Take care not to cook over a high heat, or else the base could brown too much before the middle of the frittata is cooked.', 'Toast the slices of bread. Slice the frittata into wedges and serve with the toast.', 'You could also make the recipe with extra vegetables, such as mushrooms, spring onions and chopped peppers.']",Breakfast
1771250174-7,Veg mix with cheese sauce,"Tuck into a healthy plateful of lightly cooked fresh vegetables with a delicious cheese and spring onion sauce.Prep: 15 mins
Cook: 20 mins
Serves 4","995kJ / 238kcal13.7g protein8.8g fat, of which 3.6g saturates21.9g carbohydrate, of which 11.8g sugars8.2g fibre0.5g salt","Put the cauliflower, broccoli and carrots in a steamer or colander positioned over a large saucepan of steadily boiling water. Steam for 5 to 6 minutes.
  

          
            


  
    Add the sugar snap peas or green beans, and courgettes. Steam for about 5 more minutes, until the vegetables are cooked, yet still retain a little crunchiness.
  
    
  Information: 
  Steaming is a healthier way of cooking fresh vegetables, so try to use this method more often. Alternatively, the vegetables can be cooked in a small amount of boiling water until tender.


  

          
            


  
    After the second batch of vegetables goes in, start making the sauce. Melt the low-fat spread in a saucepan and add the spring onions. Cook gently for 2 to 3 minutes to soften them.
  

          
            


  
    Stir in the flour and cook gently over a low heat for a further minute, then remove from the heat.
  

          
            


  
    Gradually add the milk, stirring until it is mixed in. Return to the heat and bring up to the boil, stirring constantly until the sauce thickens.
  

          
            


  
    Add the cheese to the sauce and stir over a low heat until melted. Season with some pepper.
  

          
            


  
    Pour the sauce over the vegetables and serve at once.","1 cauliflower, broken into florets200g broccoli, broken into florets4 carrots, sliced200g sugar snap peas or green beans, trimmed2 courgettes, sliced20g lower-fat spread6 spring onions, trimmed and finely chopped40g plain flour300ml or 1%-fat or semi-skimmed milk50g reduced-fat mature cheddar cheese, grated1 pinch ground black pepper",https://assets.nhs.uk/campaigns-cms-prod/images/Veg_mix_with_cheese_sauce_Hl4pvbw.width-1534.png,35,238kcals,13.7g,8.8g,21.9g,"['1 cauliflower, broken into florets', '200g broccoli, broken into florets', '4 carrots, sliced', '200g sugar snap peas or green beans, trimmed', '2 courgettes, sliced', '20g lower-fat spread', '6 spring onions, trimmed and finely chopped', '40g plain flour', '300ml or 1%-fat or semi-skimmed milk', '50g reduced-fat mature cheddar cheese, grated', '1 pinch ground black pepper']","['Put the cauliflower, broccoli and carrots in a steamer or colander positioned over a large saucepan of steadily boiling water. Steam for 5 to 6 minutes.', 'Add the sugar snap peas or green beans, and courgettes. Steam for about 5 more minutes, until the vegetables are cooked, yet still retain a little crunchiness.', 'Steaming is a healthier way of cooking fresh vegetables, so try to use this method more often. Alternatively, the vegetables can be cooked in a small amount of boiling water until tender.', 'After the second batch of vegetables goes in, start making the sauce. Melt the low-fat spread in a saucepan and add the spring onions. Cook gently for 2 to 3 minutes to soften them.', 'Stir in the flour and cook gently over a low heat for a further minute, then remove from the heat.', 'Gradually add the milk, stirring until it is mixed in. Return to the heat and bring up to the boil, stirring constantly until the sauce thickens.', 'Add the cheese to the sauce and stir over a low heat until melted. Season with some pepper.', 'Pour the sauce over the vegetables and serve at once.']",Dinner
1771250176-8,Veg and lentil cobbler,"This cheap and cheerful casserole is packed with fresh vegetables and finished off with a topping of tasty scones.Prep: 25 mins
Cook: 40 mins
Serves 4","1757kJ / 409kcals14g protein11.7g fat, of which 2.5g saturates57.4g carbohydrate, of which 12.5g sugars9.3g fibre1g salt","Preheat the oven to 180C (fan 160C, gas mark 4). Heat the olive oil in a large saucepan and cook the garlic and onion for 2 to 3 minutes. Add the celery, parsnip, carrots and cauliflower and stir-fry for 2 or 3 minutes more. Remove from the heat and add the mushrooms, tomatoes and lentils.
  
    
  Information: 
  If you do not like some of the suggested vegetables, simply swap them with your favourites! Why not give broccoli, sweet potato or green beans a go?


  

          
            


  
    Mix the cornflour with 3 to 4 tablespoons of water and add to the saucepan, along with the vegetable stock and parsley. Return to the heat and bring to the boil to thicken the mixture.
  

          
            


  
    Season with pepper then transfer the mixture to a casserole dish. Cover and bake in the oven for 20 minutes.
  

          
            


  
    Meanwhile, sift the flour into a large bowl and rub in the low-fat spread with your fingertips. Beat the egg and milk together in a separate bowl and add just enough to the dry mixture to make a soft dough. Knead lightly, then roll out on a lightly floured surface to a thickness of 2cm and cut into 4cm rounds.
  
    
  Information: 
  When cutting out the rounds of dough, avoid twisting the cutter or the scones will not rise as much.


  

          
            


  
    Remove the casserole from the oven and turn the temperature up to 200C (fan 180C, gas mark 6). Arrange the scones around the edge of the dish and brush with the remaining egg and milk.
  

          
            


  
    Return to the oven uncovered and cook for a further 12 to 15 minutes, until the scone topping has risen and is golden brown.","2 teaspoons olive oil1 garlic clove, finely chopped1 medium onion, chopped2 celery sticks, sliced1 medium parsnip, chopped2 medium carrots, sliced2 handfuls of cauliflower (about 10 florets)2 handfuls cup or button mushrooms, sliced1 tin chopped tomatoes75g dried red lentils2 tablespoons cornflour450ml reduced-salt vegetable stock1 tablespoon chopped fresh parsley1 pinch ground black pepper150g self-raising flour45g lower-fat spread1 egg30ml semi-skimmed milk",https://assets.nhs.uk/campaigns-cms-prod/images/Lentils_and_veg_cobbler_XPruabu.width-1534.png,65,409kcals,14g,11.7g,57.4g,"['2 teaspoons olive oil', '1 garlic clove, finely chopped', '1 medium onion, chopped', '2 celery sticks, sliced', '1 medium parsnip, chopped', '2 medium carrots, sliced', '2 handfuls of cauliflower (about 10 florets)', '2 handfuls cup or button mushrooms, sliced', '1 tin chopped tomatoes', '75g dried red lentils', '2 tablespoons cornflour', '450ml reduced-salt vegetable stock', '1 tablespoon chopped fresh parsley', '1 pinch ground black pepper', '150g self-raising flour', '45g lower-fat spread', '1 egg', '30ml semi-skimmed milk']","['Preheat the oven to 180C (fan 160C, gas mark 4). Heat the olive oil in a large saucepan and cook the garlic and onion for 2 to 3 minutes. Add the celery, parsnip, carrots and cauliflower and stir-fry for 2 or 3 minutes more. Remove from the heat and add the mushrooms, tomatoes and lentils.', 'If you do not like some of the suggested vegetables, simply swap them with your favourites! Why not give broccoli, sweet potato or green beans a go?', 'Mix the cornflour with 3 to 4 tablespoons of water and add to the saucepan, along with the vegetable stock and parsley. Return to the heat and bring to the boil to thicken the mixture.', 'Season with pepper then transfer the mixture to a casserole dish. Cover and bake in the oven for 20 minutes.', 'Meanwhile, sift the flour into a large bowl and rub in the low-fat spread with your fingertips. Beat the egg and milk together in a separate bowl and add just enough to the dry mixture to make a soft dough. Knead lightly, then roll out on a lightly floured surface to a thickness of 2cm and cut into 4cm rounds.', 'When cutting out the rounds of dough, avoid twisting the cutter or the scones will not rise as much.', 'Remove the casserole from the oven and turn the temperature up to 200C (fan 180C, gas mark 6). Arrange the scones around the edge of the dish and brush with the remaining egg and milk.', 'Return to the oven uncovered and cook for a further 12 to 15 minutes, until the scone topping has risen and is golden brown.']",Dinner
1771250178-9,Vanilla muesli milkshake,"Make this speedy drink as part of your breakfast when time is tight.Prep: 5 mins
Cook: 0 mins
Serves 6","394kJ / 93kcal5.6g protein16.5g carbohydrate, of which 11.1g sugars1g fat, of which 0.4g saturates1g fibre0.16g salt","Slice the banana into a blender and add the yoghurt, muesli, milk and vanilla extract.
  
    
  Information: 
  If you don't have a blender, you can use a hand-held stick blender, whizzing the ingredients together in a jug.


  

          
            


  
    Blend everything together until smooth, then pour into 6 glasses. Serve at once.
  
    
  Information: 
  To get the energy you need to start the day, you can serve this with a slice of wholemeal toast.","1 large ripe banana150g low-fat natural yoghurt50g muesli, with no added sugar550ml skimmed milk1/2 teaspoon vanilla extract",https://assets.nhs.uk/campaigns-cms-prod/images/Vanilla_muesli_milkshake.width-1534.png,5,93kcals,5.6g,1g,16.5g,"['1 large ripe banana', '150g low-fat natural yoghurt', '50g muesli, with no added sugar', '550ml skimmed milk', '1/2 teaspoon vanilla extract']","['Slice the banana into a blender and add the yoghurt, muesli, milk and vanilla extract.', ""If you don't have a blender, you can use a hand-held stick blender, whizzing the ingredients together in a jug."", 'Blend everything together until smooth, then pour into 6 glasses. Serve at once.', 'To get the energy you need to start the day, you can serve this with a slice of wholemeal toast.']",Breakfast
1771250180-10,Turkey tikka kebabs,"Perfect for grilling or barbecuing, any time of year!Prep: 10 mins
Marinate: 20 mins
Cook: 12 mins
Serves 4","1,573kJ / 376kcal37.5g protein45g carbohydrate, of which 9g sugars6g fat, of which 1g saturates2g fibre0.7g salt","Put the turkey chunks into a bowl (not a metal one) and add the yoghurt, curry paste and coriander (if using). Mix together thoroughly, then cover and chill for at least 20 minutes, though you can leave overnight if you prefer.
  
    
  Information: 
  Use chicken instead of turkey, for a change.


  

          
            


  
    When ready to cook, soak 8 wooden kebab sticks in hot water for a few minutes (this will help prevent them from burning). Put rice on to cook in a large saucepan of gently boiling water. It will take about 30 minutes.
  
    
  Information: 
  Wholegrain rice will provide you with more fibre and B vitamins – remember that it takes longer to cook than white rice.


  

          
            


  
    Thread the turkey chunks, pepper and courgette onto the kebab sticks, alternating the pieces.
  

          
            


  
    Preheat the grill, grill pan or barbecue. Cook the kebabs for 10 to 12 minutes, turning often, until cooked through.
  
    
  Information: 
  Make sure the turkey is thoroughly cooked by inserting a sharp knife – there should not be any pink juices.


  

          
            


  
    Meanwhile, mix together the tomatoes, red onion, chilli and coriander for the relish.
  
    
  Information: 
  If you're not keen on coriander or chilli, simply leave them out.


  

          
            


  
    Serve the relish with the kebabs, along with some lettuce and cucumber.","500g skinless turkey breast, cut into chunks150g low-fat natural yoghurt2 teaspoons tikka masala curry paste1 tablespoon fresh coriander (optional)1 pepper (any colour), deseeded and cut into chunks1 courgette, sliced",https://assets.nhs.uk/campaigns-cms-prod/images/Turkey_tikka_kebabs_87lqkjo.width-1534.png,22,376kcals,37.5g,6g,45g,"['500g skinless turkey breast, cut into chunks', '150g low-fat natural yoghurt', '2 teaspoons tikka masala curry paste', '1 tablespoon fresh coriander (optional)', '1 pepper (any colour), deseeded and cut into chunks', '1 courgette, sliced']","['Put the turkey chunks into a bowl (not a metal one) and add the yoghurt, curry paste and coriander (if using). Mix together thoroughly, then cover and chill for at least 20 minutes, though you can leave overnight if you prefer.', 'Use chicken instead of turkey, for a change.', 'When ready to cook, soak 8 wooden kebab sticks in hot water for a few minutes (this will help prevent them from burning). Put rice on to cook in a large saucepan of gently boiling water. It will take about 30 minutes.', 'Wholegrain rice will provide you with more fibre and B vitamins – remember that it takes longer to cook than white rice.', 'Thread the turkey chunks, pepper and courgette onto the kebab sticks, alternating the pieces.', 'Preheat the grill, grill pan or barbecue. Cook the kebabs for 10 to 12 minutes, turning often, until cooked through.', 'Make sure the turkey is thoroughly cooked by inserting a sharp knife – there should not be any pink juices.', 'Meanwhile, mix together the tomatoes, red onion, chilli and coriander for the relish.', ""If you're not keen on coriander or chilli, simply leave them out."", 'Serve the relish with the kebabs, along with some lettuce and cucumber.']",Dinner
